data,company,n,delta,Lat,Lon
2017-05-02,LASERGRAF SRL,52,0,45.6851,8.93814
2017-05-03,EGAL SRL,41,1,45.5962,9.01754
2017-05-03,MADEBLACK SRL,101,0,45.6508,9.84802
2017-05-03,LASERGRAF SRL,7,0,45.6851,8.93814
2017-05-04,GESM SPA FASHION FACTORY,16,0,45.5846,10.4382
2017-05-04,EGAL SRL,22,0,45.5962,9.01754
2017-05-04,MADEBLACK SRL,21,0,45.6508,9.84802
2017-05-04,LASERGRAF SRL,9,1,45.6851,8.93814
2017-05-05,GESM SPA FASHION FACTORY,1,1,45.5846,10.4382
2017-05-05,EGAL SRL,33,0,45.5962,9.01754
2017-05-05,MADEBLACK SRL,52,0,45.6508,9.84802
2017-05-05,LASERGRAF SRL,5,0,45.6851,8.93814
2017-05-08,EGAL SRL,15,0,45.5962,9.01754
2017-05-08,MADEBLACK SRL,89,0,45.6508,9.84802
2017-05-08,LASERGRAF SRL,6,3,45.6851,8.93814
2017-05-09,GESM SPA FASHION FACTORY,1,1,45.5846,10.4382
2017-05-09,EGAL SRL,20,0,45.5962,9.01754
2017-05-09,MADEBLACK SRL,54,0,45.6508,9.84802
2017-05-09,LASERGRAF SRL,42,0,45.6851,8.93814
2017-05-10,GESM SPA FASHION FACTORY,4,0,45.5846,10.4382
2017-05-10,EGAL SRL,9,0,45.5962,9.01754
2017-05-10,MADEBLACK SRL,53,0,45.6508,9.84802
2017-05-10,LASERGRAF SRL,2,1,45.6851,8.93814
2017-05-11,GESM SPA FASHION FACTORY,1,1,45.5846,10.4382
2017-05-11,EGAL SRL,14,0,45.5962,9.01754
2017-05-11,MADEBLACK SRL,46,0,45.6508,9.84802
2017-05-11,LASERGRAF SRL,2,0,45.6851,8.93814
2017-05-12,EGAL SRL,19,1,45.5962,9.01754
2017-05-12,MADEBLACK SRL,25,0,45.6508,9.84802
2017-05-12,LASERGRAF SRL,60,0,45.6851,8.93814
2017-05-15,GESM SPA FASHION FACTORY,1,3,45.5846,10.4382
2017-05-15,EGAL SRL,25,0,45.5962,9.01754
2017-05-15,MADEBLACK SRL,49,0,45.6508,9.84802
2017-05-15,LASERGRAF SRL,15,0,45.6851,8.93814
2017-05-16,GESM SPA FASHION FACTORY,4,1,45.5846,10.4382
2017-05-16,EGAL SRL,6,0,45.5962,9.01754
2017-05-16,MADEBLACK SRL,105,0,45.6508,9.84802
2017-05-16,LASERGRAF SRL,40,0,45.6851,8.93814
2017-05-17,EGAL SRL,14,1,45.5962,9.01754
2017-05-17,MADEBLACK SRL,22,0,45.6508,9.84802
2017-05-17,LASERGRAF SRL,24,0,45.6851,8.93814
2017-05-18,GESM SPA FASHION FACTORY,5,1,45.5846,10.4382
2017-05-18,EGAL SRL,13,0,45.5962,9.01754
2017-05-18,MADEBLACK SRL,15,0,45.6508,9.84802
2017-05-18,LASERGRAF SRL,29,0,45.6851,8.93814
2017-05-19,GESM SPA FASHION FACTORY,1,0,45.5846,10.4382
2017-05-19,EGAL SRL,18,0,45.5962,9.01754
2017-05-19,XIA JINGYE,19,0,45.6158,9.08152
2017-05-19,MADEBLACK SRL,99,0,45.6508,9.84802
2017-05-19,LASERGRAF SRL,12,0,45.6851,8.93814
2017-05-19,JIANG XIUJIN,7,0,45.7133,8.90516
2017-05-22,EGAL SRL,30,0,45.5962,9.01754
2017-05-22,XIA JINGYE,1,0,45.6158,9.08152
2017-05-22,MADEBLACK SRL,67,0,45.6508,9.84802
2017-05-22,ROLLWASCH ITALIANA SPA,5,0,45.6571,9.25614
2017-05-22,LASERGRAF SRL,17,0,45.6851,8.93814
2017-05-23,GESM SPA FASHION FACTORY,1,1,45.5846,10.4382
2017-05-23,EGAL SRL,11,0,45.5962,9.01754
2017-05-23,XIA JINGYE,1,0,45.6158,9.08152
2017-05-23,MADEBLACK SRL,63,0,45.6508,9.84802
2017-05-23,LASERGRAF SRL,14,0,45.6851,8.93814
2017-05-24,PAM SRL,1,1,43.5512,11.5858
2017-05-24,EGAL SRL,15,0,45.5962,9.01754
2017-05-24,XIA JINGYE,2,0,45.6158,9.08152
2017-05-24,LASERGRAF SRL,8,0,45.6851,8.93814
2017-05-25,EGAL SRL,25,0,45.5962,9.01754
2017-05-25,XIA JINGYE,1,1,45.6158,9.08152
2017-05-25,MADEBLACK SRL,56,0,45.6508,9.84802
2017-05-25,LASERGRAF SRL,12,0,45.6851,8.93814
2017-05-26,EGAL SRL,9,0,45.5962,9.01754
2017-05-26,XIA JINGYE,1,0,45.6158,9.08152
2017-05-26,MADEBLACK SRL,158,0,45.6508,9.84802
2017-05-26,LASERGRAF SRL,28,0,45.6851,8.93814
2017-05-29,GESM SPA FASHION FACTORY,13,0,45.5846,10.4382
2017-05-29,EGAL SRL,2,3,45.5962,9.01754
2017-05-29,MADEBLACK SRL,21,0,45.6508,9.84802
2017-05-29,LASERGRAF SRL,65,0,45.6851,8.93814
2017-05-30,GESM SPA FASHION FACTORY,7,0,45.5846,10.4382
2017-05-30,EGAL SRL,15,0,45.5962,9.01754
2017-05-30,XIA JINGYE,1,1,45.6158,9.08152
2017-05-30,MADEBLACK SRL,51,0,45.6508,9.84802
2017-05-30,LASERGRAF SRL,64,0,45.6851,8.93814
2017-05-31,EGAL SRL,26,0,45.5962,9.01754
2017-05-31,XIA JINGYE,1,1,45.6158,9.08152
2017-05-31,MADEBLACK SRL,41,0,45.6508,9.84802
2017-05-31,LASERGRAF SRL,27,0,45.6851,8.93814
2017-06-01,EGAL SRL,24,0,45.5962,9.01754
2017-06-01,MADEBLACK SRL,113,0,45.6508,9.84802
2017-06-01,LASERGRAF SRL,14,0,45.6851,8.93814
2017-06-05,GESM SPA FASHION FACTORY,5,0,45.5846,10.4382
2017-06-05,EGAL SRL,32,0,45.5962,9.01754
2017-06-05,XIA JINGYE,3,4,45.6158,9.08152
2017-06-05,MADEBLACK SRL,36,0,45.6508,9.84802
2017-06-05,LASERGRAF SRL,9,0,45.6851,8.93814
2017-06-06,EGAL SRL,25,0,45.5962,9.01754
2017-06-06,XIA JINGYE,3,1,45.6158,9.08152
2017-06-06,MADEBLACK SRL,116,0,45.6508,9.84802
2017-06-06,LASERGRAF SRL,12,0,45.6851,8.93814
2017-06-07,GESM SPA FASHION FACTORY,5,0,45.5846,10.4382
2017-06-07,EGAL SRL,29,0,45.5962,9.01754
2017-06-07,XIA JINGYE,1,1,45.6158,9.08152
2017-06-07,MADEBLACK SRL,13,0,45.6508,9.84802
2017-06-07,LASERGRAF SRL,35,0,45.6851,8.93814
