data,company,n,delta,Lat,Lon
2017-05-03,RIBELLE SRL UNIPERSONALE,3,0,44.8224,10.8892
2017-05-03,GER.MAC STAMPI SAS,1,5,45.7133,8.90516
2017-05-04,PRIORE SRL,4,0,45.7045,8.87429
2017-05-04,CAROLLO SRL,5,0,45.7542,8.89674
2017-05-04,COLOR-PLAST SRL,1,1,45.7133,8.90516
2017-05-04,VAMP-TECH SPA,1,0,45.6166,9.46586
2017-05-05,C&C METAL PRODUCTS CORP.METAL,4,0,40.8929,-73.9726
2017-05-05,RIBELLE SRL UNIPERSONALE,1,1,44.8224,10.8892
2017-05-05,METALLURGICA LOMBARDA SRL,6,0,45.3987,8.91623
2017-05-08,GAMMA PLAST SNC DI REGALIA FRA,1,0,45.6119,8.85205
2017-05-08,COLOR-PLAST SRL,1,3,45.7133,8.90516
2017-05-08,MARIO UBOLDI,3,0,45.7133,8.90516
2017-05-09,COLOR-PLAST SRL,3,0,45.7133,8.90516
2017-05-10,C&C METAL PRODUCTS CORP.METAL,1,1,40.8929,-73.9726
2017-05-10,GOERLACH  BESATZSCHMUCK  GmbH,4,0,47.8804,10.6222
2017-05-11,C&C METAL PRODUCTS CORP.METAL,2,0,40.8929,-73.9726
2017-05-12,CHERRY CHARM XIAO LING RAIMEN,5,0,33.0821,10.7031
2017-05-15,DIMAR CONCERIA SRL,2,0,45.4898,11.3623
2017-05-15,PRIORE SRL,1,3,45.7045,8.87429
2017-05-15,COLOR-PLAST SRL,9,0,45.7133,8.90516
2017-05-15,OLTRONA PLAST SRL,2,0,45.7156,8.98307
2017-05-16,GOERLACH  BESATZSCHMUCK  GmbH,1,1,47.8804,10.6222
2017-05-16,CAROLLO SRL,3,0,45.7542,8.89674
2017-05-16,MARIO UBOLDI,1,0,45.7133,8.90516
2017-05-17,C&C METAL PRODUCTS CORP.METAL,6,1,40.8929,-73.9726
2017-05-17,CHERRY CHARM XIAO LING RAIMEN,6,0,33.0821,10.7031
2017-05-18,GLOBAL COMPANY SRL,1,1,45.7045,8.87429
2017-05-18,PRIORE SRL,3,0,45.7045,8.87429
2017-05-18,METALLURGICA LOMBARDA SRL,1,0,45.3987,8.91623
2017-05-18,NOVA RAMPALUX SNC,1,0,45.6915,8.93154
2017-05-18,RAVAGO ITALIA SPA,1,0,45.5914,9.80926
2017-05-19,GOERLACH  BESATZSCHMUCK  GmbH,1,0,47.8804,10.6222
2017-05-19,MANICARDI SRL,1,0,44.7836,10.8855
2017-05-19,EUROMINUTERIE SRL,1,1,45.4077,11.8734
2017-05-22,COLOR-PLAST SRL,2,0,45.7133,8.90516
2017-05-22,AREA BUSINESS SRL,3,0,45.7133,8.90516
2017-05-22,OLTRONA PLAST SRL,1,0,45.7156,8.98307
2017-05-22,BIESTERFELD POLYBASS SPA,1,3,45.4668,9.1905
2017-05-22,RAVAGO ITALIA SPA,1,0,45.5914,9.80926
2017-05-23,MBA F.LLI LANDI SRL,1,0,43.6587,11.2976
2017-05-23,MARIO UBOLDI,1,1,45.7133,8.90516
2017-05-25,C&C METAL PRODUCTS CORP.METAL,6,0,40.8929,-73.9726
2017-05-25,EUROMINUTERIE SRL,1,1,45.4077,11.8734
2017-05-26,MANICARDI SRL,4,0,44.7836,10.8855
2017-05-26,CIDIEMME S.R.L.,1,0,44.6459,10.9256
2017-05-26,CAROLLO SRL,2,0,45.7542,8.89674
2017-05-26,GIEFFE SRL,1,0,45.5586,8.94789
2017-05-26,BOMBELLI GIANCARLO SPA,1,1,45.5692,8.95994
2017-05-29,CHERRY CHARM XIAO LING RAIMEN,2,0,33.0821,10.7031
2017-05-29,OMS ITALIA SRL,1,0,43.7755,11.4399
2017-05-29,PRIORE SRL,3,0,45.7045,8.87429
2017-05-29,GER.MAC STAMPI SAS,2,0,45.7133,8.90516
2017-05-29,NOVA RAMPALUX SNC,1,3,45.6915,8.93154
2017-05-29,POLIBLEND SPA,1,0,45.6752,8.95576
2017-05-31,COLOR-PLAST SRL,3,0,45.7133,8.90516
2017-05-31,IL GRANELLO SCARL,2,1,45.6588,8.97193
2017-06-01,C&C METAL PRODUCTS CORP.METAL,1,1,40.8929,-73.9726
2017-06-05,GLOBAL COMPANY SRL,2,4,45.7045,8.87429
2017-06-05,CAROLLO SRL,3,0,45.7542,8.89674
2017-06-06,OROPRESS SPA,1,1,45.5445,9.16762
2017-06-07,MANICARDI SRL,1,1,44.7836,10.8855
2017-06-07,OMS ITALIA SRL,8,0,43.7755,11.4399
2017-06-07,PRIORE SRL,6,0,45.7045,8.87429
2017-06-07,COLOR-PLAST SRL,2,0,45.7133,8.90516
2017-06-08,CHERRY CHARM XIAO LING RAIMEN,5,0,33.0821,10.7031
2017-06-08,OMS ITALIA SRL,4,0,43.7755,11.4399
2017-06-09,NOVA RAMPALUX SNC,2,0,45.6915,8.93154
2017-06-09,NORDIMBALLI SRL,1,1,45.7245,9.03806
2017-06-12,OMS ITALIA SRL,1,3,43.7755,11.4399
2017-06-13,MBA F.LLI LANDI SRL,2,1,43.6587,11.2976
2017-06-13,COLOR-PLAST SRL,4,0,45.7133,8.90516
2017-06-13,NOVA RAMPALUX SNC,4,0,45.6915,8.93154
2017-06-14,OMS ITALIA SRL,1,0,43.7755,11.4399
2017-06-14,GLOBAL COMPANY SRL,1,1,45.7045,8.87429
2017-06-14,CAROLLO SRL,3,0,45.7542,8.89674
2017-06-15,RIBELLE SRL UNIPERSONALE,1,1,44.8224,10.8892
2017-06-15,CAROLLO SRL,2,0,45.7542,8.89674
2017-06-15,METALLURGICA LOMBARDA SRL,3,0,45.3987,8.91623
2017-06-15,CC STAMPI SRL,2,0,45.4668,9.1905
2017-06-16,COLOR-PLAST SRL,3,1,45.7133,8.90516
2017-06-20,PLASTOTECNICA SRL,1,0,45.1402,7.76802
2017-06-20,PRIORE SRL,4,0,45.7045,8.87429
2017-06-20,OLTRONA PLAST SRL,1,1,45.7156,8.98307
2017-06-20,SICAD SPA,1,0,45.6153,9.00394
2017-06-20,OROPRESS SPA,1,0,45.5445,9.16762
2017-06-21,C&C METAL PRODUCTS CORP.METAL,9,0,40.8929,-73.9726
2017-06-21,AMOM SPA,1,1,43.4055,11.7678
2017-06-22,COLOR-PLAST SRL,3,1,45.7133,8.90516
2017-06-22,METALLURGICA LOMBARDA SRL,8,0,45.3987,8.91623
2017-06-23,CASTIGLIONI GIOVANNI S.P.A.,2,1,45.8175,8.82634
2017-06-23,GLOBAL COMPANY SRL,3,0,45.7045,8.87429
2017-06-23,CAROLLO SRL,4,0,45.7542,8.89674
2017-06-23,IL GRANELLO SCARL,18,0,45.6588,8.97193
2017-06-26,C&C METAL PRODUCTS CORP.METAL,2,0,40.8929,-73.9726
2017-06-26,CIDIEMME S.R.L.,2,0,44.6459,10.9256
2017-06-26,MBA F.LLI LANDI SRL,1,3,43.6587,11.2976
2017-06-26,COLOR-PLAST SRL,8,0,45.7133,8.90516
2017-06-26,POLIBLEND SPA,1,0,45.6752,8.95576
2017-06-26,PANOZZO SRL,1,0,45.6987,9.41165
2017-06-27,CC STAMPI SRL,4,1,45.4668,9.1905
2017-06-28,CHERRY CHARM XIAO LING RAIMEN,2,1,33.0821,10.7031
2017-06-28,COLOR-PLAST SRL,4,0,45.7133,8.90516
2017-06-28,METALLURGICA LOMBARDA SRL,8,0,45.3987,8.91623
2017-06-29,C&C METAL PRODUCTS CORP.METAL,1,1,40.8929,-73.9726
2017-06-29,GER.MAC STAMPI SAS,1,0,45.7133,8.90516
2017-06-29,COLOR-PLAST SRL,7,0,45.7133,8.90516
2017-06-29,NOVA RAMPALUX SNC,1,0,45.6915,8.93154
2017-06-29,OLTRONA PLAST SRL,1,0,45.7156,8.98307
2017-06-29,CC STAMPI SRL,4,0,45.4668,9.1905
2017-06-30,IL GRANELLO SCARL,14,0,45.6588,8.97193
2017-06-30,OLTRONA PLAST SRL,1,1,45.7156,8.98307
2017-07-03,MBA F.LLI LANDI SRL,2,0,43.6587,11.2976
2017-07-03,S.R. PLAST DI RIMOLDI & C. SNC,1,0,45.6909,8.87246
2017-07-03,COLOR-PLAST SRL,4,0,45.7133,8.90516
