data,company,n,delta,Lat,Lon
2017-03-30,EGAL SRL,41,0,45.5962,9.01754
2017-03-30,GESM SPA FASHION FACTORY,11,0,45.5846,10.4382
2017-03-31,CASSANOGOMMA SRL,1,1,45.6744,8.8243
2017-03-31,MADEBLACK SRL,28,0,45.6508,9.84802
2017-03-31,XIA JINGYE,10,0,45.6158,9.08152
2017-03-31,EGAL SRL,8,0,45.5962,9.01754
2017-04-03,MADEBLACK SRL,60,0,45.6508,9.84802
2017-04-03,XIA JINGYE,8,0,45.6158,9.08152
2017-04-03,EGAL SRL,16,3,45.5962,9.01754
2017-04-04,MADEBLACK SRL,24,0,45.6508,9.84802
2017-04-04,EGAL SRL,14,0,45.5962,9.01754
2017-04-05,MADEBLACK SRL,33,0,45.6508,9.84802
2017-04-05,XIA JINGYE,5,0,45.6158,9.08152
2017-04-05,EGAL SRL,22,0,45.5962,9.01754
2017-04-05,GESM SPA FASHION FACTORY,5,0,45.5846,10.4382
2017-04-06,MADEBLACK SRL,50,0,45.6508,9.84802
2017-04-06,XIA JINGYE,4,0,45.6158,9.08152
2017-04-06,EGAL SRL,13,0,45.5962,9.01754
2017-04-06,GESM SPA FASHION FACTORY,9,1,45.5846,10.4382
2017-04-07,MADEBLACK SRL,29,0,45.6508,9.84802
2017-04-07,XIA JINGYE,9,0,45.6158,9.08152
2017-04-07,EGAL SRL,27,0,45.5962,9.01754
2017-04-07,GESM SPA FASHION FACTORY,3,0,45.5846,10.4382
2017-04-10,MADEBLACK SRL,36,0,45.6508,9.84802
2017-04-10,XIA JINGYE,5,0,45.6158,9.08152
2017-04-10,EGAL SRL,18,0,45.5962,9.01754
2017-04-10,GESM SPA FASHION FACTORY,3,3,45.5846,10.4382
2017-04-11,MADEBLACK SRL,66,0,45.6508,9.84802
2017-04-11,XIA JINGYE,6,1,45.6158,9.08152
2017-04-11,EGAL SRL,8,0,45.5962,9.01754
2017-04-12,MADEBLACK SRL,36,0,45.6508,9.84802
2017-04-12,XIA JINGYE,10,0,45.6158,9.08152
2017-04-12,EGAL SRL,26,1,45.5962,9.01754
2017-04-13,ROLLWASCH ITALIANA SPA,5,0,45.6571,9.25614
2017-04-13,MADEBLACK SRL,56,0,45.6508,9.84802
2017-04-13,XIA JINGYE,6,0,45.6158,9.08152
2017-04-13,EGAL SRL,15,0,45.5962,9.01754
2017-04-13,GESM SPA FASHION FACTORY,8,0,45.5846,10.4382
2017-04-14,MADEBLACK SRL,85,0,45.6508,9.84802
2017-04-14,EGAL SRL,27,0,45.5962,9.01754
2017-04-18,MADEBLACK SRL,95,0,45.6508,9.84802
2017-04-18,EGAL SRL,7,0,45.5962,9.01754
2017-04-18,GESM SPA FASHION FACTORY,3,4,45.5846,10.4382
2017-04-19,MADEBLACK SRL,37,0,45.6508,9.84802
2017-04-19,EGAL SRL,9,0,45.5962,9.01754
2017-04-19,GESM SPA FASHION FACTORY,6,1,45.5846,10.4382
2017-04-20,MADEBLACK SRL,68,0,45.6508,9.84802
